high,kesai_angle,beta_angle,alpha_angle,decare_x,decare_y,decare_z,velocity_x,velocity_y,velocity_z,VarName17,VarName18,acceleration_x,acceleration_y,acceleration_z,palstance_x,palstance_y,palstance_z,center_x,center_y,center_z
108.6761388,34.2406587,357.348,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.022,0.0063,-0.0039,-0.017,-0.001724,-0.002845,0.002701,0.96144850274223,-1.7016116733699,0.0629157416209628
108.6761388,34.2406587,357.348,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.023,0.0063,0.0072,-0.017,-1.3e-05,-0.002845,0.002701,0.961788306942753,-1.70162390682095,0.0630173124238733
108.6761387,34.2406587,357.339,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.023,0.0063,0.0072,-0.017,-1.3e-05,-0.002319,0.00235,0.962010202192448,-1.7016913818514,0.0628474031668696
108.6761387,34.2406587,357.339,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.023,0.0063,0.0072,-0.017,-1.3e-05,-0.002319,0.00235,0.962054447961047,-1.70164897261108,0.0626517693244065
108.6761387,34.2406587,357.339,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.024,-0.0048,-0.0037,0.0118,-0.000493,-0.004416,0.002452,0.961580817794028,-1.70148205545399,0.0626829652650822
108.6761387,34.2406587,357.328,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.024,-0.0048,-0.0037,0.0118,-0.000493,-0.004416,0.002452,0.961757265976872,-1.70160244796105,0.0630472099817407
108.6761387,34.2406587,357.328,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.024,0.0059,0.0072,-0.0075,-0.000435,-0.003224,0.002261,0.961324424131627,-1.70173873979281,0.0630343449116392
108.6761387,34.2406587,357.318,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.024,0.0059,0.0072,-0.0075,-0.000435,-0.003224,0.002261,0.9618187013382,-1.70140053041363,0.0626769203163017
108.6761387,34.2406587,357.318,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.025,-0.0048,-0.0036,0.0023,-0.000435,-0.003224,0.002261,0.961738015824711,-1.70157364272672,0.0630386220328667
108.6761387,34.2406587,357.318,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.025,-0.0048,-0.0036,0.0023,-5.2e-05,-0.002813,0.002448,0.96194451216545,-1.70179586861314,0.0628739951338199
108.6761387,34.2406587,357.308,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.025,-0.0048,-0.0036,0.0023,-5.2e-05,-0.002813,0.002448,0.961924854711246,-1.70145353495441,0.0626861696048632
108.6761387,34.2406587,357.308,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.025,0.0059,-0.0039,-0.0074,0.00052,-0.003737,0.002463,0.961582601829268,-1.70141898780488,0.0628637640243902
108.6761387,34.2406587,357.297,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.025,0.0059,-0.0039,-0.0074,0.00052,-0.003737,0.002463,0.961337037172456,-1.70174496709324,0.0629391584399756
108.6761387,34.2406587,357.297,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,0.0061,-0.0037,0.0119,0.00052,-0.003737,0.002463,0.961615154595253,-1.70164351673768,0.0627836049908703
108.6761387,34.2406587,357.297,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,0.0061,-0.0037,0.0119,0.000726,-0.003561,0.002347,0.962070276323798,-1.70153897930615,0.0629883043213633
108.6761387,34.2406587,357.285,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,0.0061,-0.0037,0.0119,0.000726,-0.003561,0.002347,0.961721993300852,-1.70169726674787,0.0625485797807551
108.6761387,34.2406587,357.285,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,0.0059,-0.0039,-0.0074,-0.000196,-0.003765,0.002861,0.961787386488131,-1.7014507449787,0.0630206335970785
108.6761387,34.2406587,357.275,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,0.0059,-0.0039,-0.0074,-0.000196,-0.003765,0.002861,0.96156023583181,-1.70154659414991,0.0627071395490554
108.6761387,34.2406587,357.275,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,-0.0048,-0.0039,0.0119,-0.001172,-0.003244,0.002416,0.961260157029824,-1.70162123432745,0.0626889951308581
108.6761387,34.2406587,357.261,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,-0.0048,-0.0039,0.0119,-0.001172,-0.003244,0.002416,0.961909252131547,-1.70141867478685,0.0624141924482338
108.6761387,34.2406587,357.261,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,-0.0047,-0.0037,-0.0073,-0.001172,-0.003244,0.002416,0.961160795856185,-1.70159056611822,0.0626114387568555
108.6761387,34.2406587,357.261,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.026,-0.0047,-0.0037,-0.0073,0.001403,-0.002834,0.00208,0.961260129640901,-1.70134340231284,0.0630587321972002
108.6761387,34.2406587,357.249,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.027,-0.0047,-0.0037,-0.0073,0.001403,-0.002834,0.00208,0.961626397685749,-1.70148595736906,0.0627362667478684
108.6761387,34.2406587,357.249,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.027,0.006,-0.0036,0.0023,0.000986,-0.003422,0.002865,0.961817195863747,-1.70143956569343,0.0627635334549878
108.6761387,34.2406587,357.237,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.027,0.006,-0.0036,0.0023,0.000986,-0.003422,0.002865,0.961316724832215,-1.70181594447834,0.0627078303843807
108.6761387,34.2406587,357.237,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.027,0.006,-0.0038,0.0023,0.000272,-0.00193,0.0019,0.961776003656307,-1.70170985923218,0.062970691651432
108.6761387,34.2406587,357.225,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.027,0.006,-0.0038,0.0023,0.000272,-0.00193,0.0019,0.961342965874467,-1.70157403229738,0.0627189847653869
108.6761387,34.2406587,357.225,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.028,0.0059,-0.0039,-0.0074,0.000272,-0.00193,0.0019,0.961963788449848,-1.70156225410334,0.0624851568389057
108.6761387,34.2406587,357.225,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.028,0.0059,-0.0039,-0.0074,0.000262,-0.002196,0.002576,0.961804196591601,-1.70161851491175,0.0630130249543517
108.6761387,34.2406587,357.213,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.028,0.0059,-0.0039,-0.0074,0.000262,-0.002196,0.002576,0.961625094339623,-1.70164582410225,0.0627118654899574
108.6761387,34.2406587,357.213,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,-0.0048,-0.0037,0.0119,-0.000652,-0.003552,0.002605,0.962137259890444,-1.70178293913573,0.0625552884966524
108.6761387,34.2406587,357.201,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,-0.0048,-0.0037,0.0119,-0.000652,-0.003552,0.002605,0.961459555487805,-1.70196452378049,0.0628022841463414
108.6761387,34.2406587,357.201,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,-0.0047,-0.0036,-0.0073,-0.000332,-0.003552,0.002605,0.961647517639903,-1.70173777980535,0.0629141088807785
108.6761387,34.2406586,357.201,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,-0.0047,-0.0036,-0.0073,-0.000332,-0.002706,0.002391,0.961728575776019,-1.70167494278758,0.0628839178332318
108.6761387,34.2406586,357.188,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,0.006,-0.0036,-0.0073,-0.000332,-0.002706,0.002391,0.962193123479319,-1.70183827189781,0.0627942968369829
108.6761387,34.2406586,357.188,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,0.006,-0.0038,-0.0073,0.000347,-0.00525,0.002933,0.961407097010372,-1.70171812080537,0.0630984813910921
108.6761387,34.2406586,357.174,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,0.006,-0.0038,-0.0073,0.000347,-0.00525,0.002933,0.961682238733252,-1.70178851887942,0.0626673246041412
108.6761387,34.2406586,357.174,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,-0.0044,-0.0041,-0.0171,0.000264,-0.00525,0.002933,0.962052317102861,-1.70216494826537,0.0627222178940961
108.6761387,34.2406586,357.162,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.029,-0.0044,-0.0041,-0.0171,0.000264,-0.002607,0.002554,0.96208646772229,-1.70196719853837,0.0631671814859927
108.6761387,34.2406586,357.162,178.79,0.82,-0.29,-1690299,5000629,3568747,0,0,-0.03,-0.0045,-0.0041,-0.0171,0.000264,-0.002607,0.002554,0.962100000609014,-1.70221677831912,0.063000059683313
